pkSeqID,proto,saddr,sport,daddr,dport,seq,stddev,N_IN_Conn_P_SrcIP,min,state_number,mean,N_IN_Conn_P_DstIP,drate,srate,max,attack,category,subcategory
3577084,arp,192.168.100.27,-1,192.168.100.1,-1,9555,2.6e-05,4,0.000123,2,0.000158,12,0.0017,0.0017,0.000186,0,Normal,Normal
3577307,udp,192.168.100.3,9711,156.154.100.3,53,3711,0.0,74,0.012329,2,0.012329,2,0.0,0.0,0.012329,0,Normal,Normal
1465932,udp,192.168.100.150,8900,192.168.100.3,80,62189,1.924854,100,0.0,4,3.848246,100,0.0,0.609699,4.911534,1,DoS,UDP
3520898,udp,192.168.100.150,11990,192.168.100.3,80,105817,0.891264,49,2.175183,4,3.435617,100,0.0,0.48749,4.068291,1,DDoS,UDP
3577273,udp,192.168.100.7,365,192.168.100.3,565,9,0.301763,1,0.497184,4,4.906977,4,0.0,11.294921,4.999999,0,Normal,Normal
2400176,tcp,192.168.100.149,54191,192.168.100.3,80,224636,0.091802,80,3.4643910000000004,3,3.556198,100,0.0,0.281928,3.648004,1,DDoS,TCP
607624,tcp,192.168.100.147,29989,192.168.100.7,80,81843,0.0,78,0.0,3,0.0,78,0.0,0.0715669999999999,0.0,1,DoS,TCP
3501676,udp,192.168.100.148,50751,192.168.100.3,80,86595,0.706397,31,2.621451,4,3.620148,100,0.0,0.736644,4.140609,1,DDoS,UDP
3269019,udp,192.168.100.147,28952,192.168.100.3,80,116091,0.8228850000000001,56,2.981614,4,3.987364,100,0.0,1.002719,4.997246,1,DDoS,UDP
3577059,udp,192.168.100.150,58220,192.168.217.2,53,5390,0.0,14,0.0,4,0.0,9,0.0,0.399987,0.0,0,Normal,Normal
3577095,udp,192.168.100.147,60454,192.168.217.2,53,11615,0.0,6,0.0,4,0.0,9,0.0,0.399823,0.0,0,Normal,Normal
367052,tcp,192.168.100.148,2419,192.168.100.6,80,103422,0.012589,100,0.0,1,0.009663,100,0.05272,0.163814,0.030945,1,DoS,TCP
3576944,udp,192.168.100.3,5353,224.0.0.251,5353,9299,0.0,20,0.0,4,0.0,24,0.0,0.0,0.0,0,Normal,Normal
2856889,udp,192.168.100.150,51756,192.168.100.3,80,228272,0.3624719999999999,100,4.036707,4,4.399176000000001,100,0.0,0.462576,4.761645,1,DDoS,UDP
2427344,tcp,192.168.100.148,50537,192.168.100.3,80,251804,0.026711,48,3.216862,3,3.243558,100,0.0,0.316561,3.270255,1,DDoS,TCP
3576961,udp,192.168.100.150,33956,224.0.0.251,5353,14545,0.0,14,0.0,4,0.0,24,0.0,0.0,0.0,0,Normal,Normal
299223,tcp,192.168.100.147,58851,192.168.100.7,80,35593,0.0,66,0.0,3,0.0,66,0.0,0.118695,0.0,1,DoS,TCP
3577236,udp,192.168.100.150,34325,8.8.8.8,53,17521,0.0,11,0.007559,2,0.007559,15,0.0,0.0,0.007559,0,Normal,Normal
3576992,udp,192.168.100.7,365,192.168.100.3,565,4,0.012232,2,4.8937800000000005,4,4.909315,7,0.0,9.96824,4.999954,0,Normal,Normal
3577297,udp,192.168.100.3,6757,192.54.112.30,53,3696,0.0,29,0.196577,2,0.196577,2,0.0,0.0,0.196577,0,Normal,Normal
3577353,udp,192.168.100.3,39514,205.251.194.84,53,3790,0.0,74,0.283848,2,0.283848,2,0.0,0.0,0.283848,0,Normal,Normal
3418738,udp,192.168.100.149,50029,192.168.100.3,80,3656,0.99578,100,1.988372,4,3.396081,100,0.0,0.489852,4.133608000000001,1,DDoS,UDP
1821668,tcp,192.168.100.147,50808,192.168.100.3,80,170427,2.240879,100,0.0,3,2.240879,100,0.0,0.154378,4.481757,1,DDoS,TCP
3413918,udp,192.168.100.150,42824,192.168.100.3,80,260990,1.927993,85,0.0,4,2.726594,100,0.0,0.489988,4.090205999999999,1,DDoS,UDP
3576908,udp,192.168.100.147,60865,8.8.8.8,53,3089,0.0,12,0.007666,2,0.007666,10,0.0,0.0,0.007666,0,Normal,Normal
132241,tcp,192.168.100.147,50990,192.168.100.7,80,130764,0.0,100,0.0,3,0.0,100,0.0,0.118249,0.0,1,DoS,TCP
1850005,tcp,192.168.100.147,58026,192.168.100.3,80,198764,0.0,96,0.0,3,0.0,100,0.0,0.0,0.0,1,DDoS,TCP
575558,tcp,192.168.100.148,61190,192.168.100.6,80,49776,0.024257,59,0.0,1,0.024162,59,0.017712,0.05313,0.051359,1,DoS,TCP
2957622,udp,192.168.100.150,28206,192.168.100.3,80,66844,0.94295,100,2.036554,4,3.370072,100,0.0,0.494964,4.042174,1,DDoS,UDP
3576915,udp,192.168.100.149,59519,8.8.8.8,53,4185,0.0,9,0.007168,2,0.007168,10,0.0,0.0,0.007168,0,Normal,Normal
203617,tcp,192.168.100.149,47732,192.168.100.5,80,202140,0.0,50,0.0,3,0.0,50,0.0,0.120221,0.0,1,DoS,TCP
2733439,udp,192.168.100.148,36882,192.168.100.3,80,104822,0.900274,39,2.757966,4,3.9468,100,0.0,0.616767,4.93586,1,DDoS,UDP
3577266,arp,192.168.100.27,-1,192.168.100.1,-1,3060,2.2e-05,4,6.8e-05,2,9.3e-05,10,0.002486,0.002486,0.000122,0,Normal,Normal
3577165,tcp,192.168.100.55,8080,192.168.100.3,80,1,0.008544,1,4.950418,2,4.966639,7,19.932936,19.933508,4.995234,0,Normal,Normal
3576952,udp,192.168.100.147,38810,129.250.35.250,123,12832,0.0,12,0.00697,2,0.00697,1,0.0,0.0,0.00697,0,Normal,Normal
